sensor_id,latitude,longitude,direction
400001,37.364085,-121.901149,NB
400017,37.253303,-121.94544,SB
400030,37.359087,-121.906538,SB
400040,37.294949,-121.873109,SB
400045,37.363402,-121.902233,NB
400052,37.255791,-121.875479,NB
400057,37.335022,-121.935522,NB
400059,37.250481,-121.907735,SB
400065,37.320292,-121.890281,SB
400069,37.385758,-121.977493,SB
400073,37.2563,-121.955559,SB
400084,37.329258,-122.012053,SB
400085,37.255594,-121.87471,SB
400088,37.414988,-121.912685,NB
400096,37.417981,-121.972547,WB
400097,37.279012,-122.010614,SB
400100,37.295052,-121.938872,SB
400104,37.419313,-121.95548,EB
400109,37.362706,-121.889426,SB
400122,37.36614,-121.901132,NB
400147,37.34221,-121.926305,NB
400148,37.250664,-121.912479,NB
400149,37.4118,-122.077964,SB
400158,37.421059,-121.93678,WB
400160,37.348392,-121.860589,SB
400168,37.391166,-121.995524,NB
400172,37.376264,-121.939712,SB
400174,37.403686,-122.06976,NB
400178,37.276874,-121.863698,NB
400185,37.303131,-122.034527,NB
400201,37.419186,-121.962831,WB
400206,37.381356,-121.96211,SB
400209,37.319961,-122.049031,SB
400213,37.259192,-121.967128,SB
400221,37.293614,-121.937899,NB
400222,37.275395,-122.004702,NB
400227,37.377237,-121.943586,NB
400236,37.325009,-121.892984,SB
400238,37.413256,-121.912324,SB
400240,37.258184,-121.953853,NB
400246,37.386551,-121.979462,NB
400253,37.342957,-121.925721,SB
400257,37.291715,-121.871799,SB
400258,37.313462,-121.886197,NB
400268,37.255651,-121.858078,NB
400274,37.409627,-121.997252,WB
400278,37.266561,-121.948692,SB
400280,37.26198,-121.858479,NB
400292,37.316378,-121.972052,SB
400296,37.420359,-121.93915,EB
400298,37.293047,-121.937861,SB
400330,37.398628,-122.026802,SB
400336,37.250624,-121.928209,NB
400343,37.348907,-121.917833,NB
400353,37.383125,-121.967496,NB
400372,37.38482,-121.974251,SB
400394,37.364382,-121.902692,SB
400400,37.34241,-121.854543,NB
400414,37.317942,-121.977301,NB
400418,37.291828,-121.871836,NB
400429,37.319424,-121.993175,SB
400435,37.403153,-122.047463,SB
400436,37.271687,-121.947037,NB
400440,37.353727,-121.865827,SB
400449,37.419452,-121.955498,WB
400457,37.276763,-121.863661,SB
400461,37.254781,-121.878917,NB
400464,37.258029,-121.962211,NB
400479,37.362439,-121.903211,SB
400485,37.254231,-121.949216,NB
400499,37.331068,-122.014931,NB
400507,37.298931,-122.029806,NB
400508,37.34766,-121.919969,SB
400514,37.334602,-121.936288,SB
400519,37.255257,-121.85256,SB
400528,37.388893,-122.068829,SB
400545,37.40013,-122.033628,SB
400560,37.324839,-122.002891,NB
400563,37.325124,-121.893062,NB
400567,37.418931,-121.962821,EB
400581,37.402668,-122.029069,WB
400582,37.275212,-122.004898,SB
400586,37.376835,-121.942537,SB
400637,37.255322,-121.855765,SB
400643,37.390763,-121.994912,SB
400648,37.303016,-122.034801,SB
400649,37.251741,-121.958118,NB
400654,37.297486,-121.874117,NB
400664,37.303458,-121.878143,NB
400665,37.341439,-121.849299,SB
400668,37.35512,-121.866967,NB
400673,37.329972,-122.013423,SB
400677,37.32001,-122.048757,NB
400687,37.408833,-122.000989,WB
400688,37.259412,-121.966974,NB
400690,37.255184,-121.876817,SB
400700,37.251345,-121.934089,SB
400709,37.341275,-121.927699,SB
400713,37.251585,-121.934046,NB
400714,37.316788,-121.953512,NB
400715,37.256205,-121.955355,NB
400717,37.250424,-121.912467,SB
400723,37.334296,-121.936706,SB
400743,37.398989,-122.028373,SB
400750,37.250746,-121.907763,NB
400760,37.374628,-121.931055,NB
400772,37.250448,-121.928226,SB
400790,37.391922,-121.998077,NB
400792,37.255491,-121.955543,SB
400794,37.390422,-121.993716,SB
400799,37.327927,-121.876137,NB
400804,37.336089,-121.848437,NB
400822,37.255715,-121.955375,NB
400823,37.334249,-122.030111,SB
400828,37.298804,-122.030071,SB
400832,37.254601,-121.956775,SB
400837,37.303359,-121.878066,SB
400842,37.261849,-121.859205,SB
400863,37.371809,-121.91655,NB
400869,37.403673,-122.069953,SB
400873,37.420927,-121.93674,EB
400895,37.380958,-121.960741,SB
400904,37.395067,-122.010518,SB
400907,37.257815,-121.96237,SB
400911,37.372674,-121.922087,NB
400916,37.320404,-121.89031,NB
400922,37.363644,-121.899535,SB
400934,37.254002,-121.949365,SB
400951,37.325151,-121.940679,NB
400952,37.279234,-122.01035,NB
400953,37.327241,-121.88076,NB
400964,37.376685,-121.94075,NB
400965,37.363311,-121.893592,NB
400970,37.409675,-121.996301,EB
400971,37.368669,-121.901336,SB
400973,37.417735,-121.972451,EB
400995,37.313375,-121.886106,SB
400996,37.350928,-121.862378,NB
401014,37.420505,-121.9392,WB
401129,37.266722,-121.859225,NB
401154,37.266658,-121.85921,SB
401163,37.316756,-121.923186,SB
401167,37.316984,-121.923208,NB
401210,37.291198,-122.023391,NB
401224,37.291054,-122.023638,SB
401327,37.315095,-121.914498,SB
401351,37.401701,-122.032879,WB
401388,37.316628,-121.952438,SB
401391,37.337881,-121.85467,SB
401400,37.316841,-121.952427,NB
401403,37.338232,-121.854583,NB
401440,37.356826,-121.908804,SB
401457,37.279515,-121.864784,SB
401464,37.424833,-121.916049,NB
401489,37.427486,-121.916962,NB
401495,37.255346,-121.85898,
401507,37.412677,-122.079539,NB
401534,37.407511,-122.065278,NB
401541,37.370203,-121.901514,NB
401555,37.255657,-121.858984,NB
401560,37.357526,-121.907884,NB
401567,37.279628,-121.864838,NB
401597,37.2874,-121.869623,NB
401606,37.287298,-121.869548,SB
401611,37.318919,-121.940307,SB
401655,37.335596,-121.858919,NB
401808,37.334883,-121.860066,NB
401809,37.334524,-121.860098,SB
401810,37.32592,-121.883989,NB
401811,37.325651,-121.883953,SB
401816,37.37116,-121.926885,SB
401817,37.371274,-121.926917,NB
401845,37.332668,-122.060628,NB
401846,37.332482,-122.060617,SB
401890,37.343447,-121.855539,NB
401891,37.343293,-121.855795,SB
401906,37.335259,-121.848031,SB
401908,37.335284,-121.847662,NB
401926,37.411999,-122.078452,SB
401936,37.407282,-122.06515,SB
401937,37.411338,-122.076826,SB
401942,37.322594,-121.897858,NB
401943,37.322361,-121.8978,SB
401948,37.409514,-122.071728,NB
401957,37.270311,-121.861079,NB
401958,37.270209,-121.860998,SB
401994,37.385523,-121.975872,NB
401996,37.396411,-122.015716,NB
401997,37.398597,-122.025693,NB
401998,37.404178,-122.05107,NB
402056,37.328954,-121.895643,NB
402057,37.336401,-121.897563,SB
